estimator,n_points,unique_parameter_sets,parameter_switches,switch_rate,max_neighbor_param_distance,median_neighbor_param_distance,tuning_modes,selected_candidate_sources,fallback_count,fallback_steps_percent,audit_warning,claim_status_override
EKF,22,1,0,0.0,0.0,0.0,global_fixed_policy_reused,optuna_topk,0,,fixed_policy_primary_curve,claim_ready_fixed_policy
IPDFT,22,1,0,0.0,0.0,0.0,global_fixed_policy_reused,optuna_topk,0,,fixed_policy_primary_curve,claim_ready_fixed_policy
LKF,22,1,0,0.0,0.0,0.0,global_fixed_policy_reused,optuna_topk,0,,fixed_policy_primary_curve,claim_ready_fixed_policy
LKF2,22,1,0,0.0,0.0,0.0,global_fixed_policy_reused,optuna_topk,0,,fixed_policy_primary_curve,claim_ready_fixed_policy
PLL,22,1,0,0.0,0.0,0.0,global_fixed_policy_reused,optuna_best,0,,fixed_policy_primary_curve,claim_ready_fixed_policy
RA-EKF,22,1,0,0.0,0.0,0.0,global_fixed_policy_reused,optuna_topk,0,,fixed_policy_primary_curve,claim_ready_fixed_policy
RLS,22,1,0,0.0,0.0,0.0,global_fixed_policy_reused,optuna_topk,0,,fixed_policy_primary_curve,claim_ready_fixed_policy
SOGI-FLL,22,1,0,0.0,0.0,0.0,global_fixed_policy_reused,optuna_best,0,,fixed_policy_primary_curve,claim_ready_fixed_policy
SOGI-PLL,22,1,0,0.0,0.0,0.0,global_fixed_policy_reused,optuna_best,0,,fixed_policy_primary_curve,claim_ready_fixed_policy
TFT,22,1,0,0.0,0.0,0.0,global_fixed_policy_reused,optuna_best,0,,fixed_policy_primary_curve,claim_ready_fixed_policy
TKEO,22,1,0,0.0,0.0,0.0,global_fixed_policy_reused,optuna_topk,0,,fixed_policy_primary_curve,claim_ready_fixed_policy
Type-3 SOGI-PLL,22,1,0,0.0,0.0,0.0,global_fixed_policy_reused,optuna_best,0,,fixed_policy_primary_curve,claim_ready_fixed_policy
UKF,22,1,0,0.0,0.0,0.0,global_fixed_policy_reused,optuna_topk,0,,fixed_policy_primary_curve,claim_ready_fixed_policy
ZCD,22,1,0,0.0,0.0,0.0,global_fixed_policy_reused,,0,,fixed_policy_primary_curve,claim_ready_fixed_policy
