scenario,step_percent,estimator,family,n_mc_runs,m1_rmse_hz_mean,m1_rmse_hz_median,m1_rmse_hz_p10,m1_rmse_hz_p90,m1_rmse_hz_std
Sweep_AmplitudeStep_7p5pct,7.5,ZCD,Loop-based,30,0.012769010577178748,0.012345859210038099,0.00663329994972447,0.01850425189414288,0.004503697157705146
Sweep_AmplitudeStep_7p5pct,7.5,EKF,Model-based,30,0.0028171545014658577,0.00265884670236225,0.00025024093019864,0.00560169568510333,0.0020374556351220817
Sweep_AmplitudeStep_7p5pct,7.5,LKF,Model-based,30,0.00397624506433411,0.00397570734100825,0.00387373115566268,0.00405839154347502,7.25930894737099e-05
Sweep_AmplitudeStep_7p5pct,7.5,LKF2,Model-based,30,0.005562525647974347,0.00358230349349155,0.0010628693030835898,0.012491819548439871,0.0043141172314590985
Sweep_AmplitudeStep_7p5pct,7.5,RA-EKF,Model-based,30,0.0006527545395100566,0.0004668261885354,0.00041427145858925003,0.0011369075288153103,0.0003842410318922593
Sweep_AmplitudeStep_7p5pct,7.5,UKF,Model-based,30,0.0012410621903018633,0.00108903047776405,0.00044954947959034003,0.0023888094270681903,0.0007146472152730142
Sweep_AmplitudeStep_7p5pct,7.5,IPDFT,Window-based,30,0.0012016576714514802,0.00130747038802675,0.00059034655696356,0.00173044198162133,0.00047830048294196867
Sweep_AmplitudeStep_7p5pct,7.5,TFT,Window-based,30,0.0008797672622873968,0.00090178230014365,0.00051047190440218,0.0012080860732311901,0.0002603056919958422
Sweep_AmplitudeStep_10pct,10.0,RLS,Adaptive,30,0.5660762453347142,0.5993139604786759,0.21080651492076805,0.8245534590112483,0.26836331364375243
Sweep_AmplitudeStep_10pct,10.0,TKEO,Adaptive,30,8.9537343854033,8.761310508513962,7.561318951423883,10.576406252046894,1.1839735534927898
Sweep_AmplitudeStep_10pct,10.0,PLL,Loop-based,30,0.2183454256603063,0.16574624118233694,0.16157533004368194,0.3149026390452713,0.13525389838509536
Sweep_AmplitudeStep_10pct,10.0,SOGI-FLL,Loop-based,30,0.004895800884128792,0.00484906625712585,0.0042604826553990695,0.005593806915244659,0.0005250448631637219
Sweep_AmplitudeStep_10pct,10.0,SOGI-PLL,Loop-based,30,0.016904059776759368,0.01572101160877845,0.005184990196183191,0.02734400519543408,0.010800306662280268
Sweep_AmplitudeStep_10pct,10.0,Type-3 SOGI-PLL,Loop-based,30,0.03227357658305016,0.0245521826012353,0.00574720147011847,0.06414350027704392,0.027530162017122103
Sweep_AmplitudeStep_10pct,10.0,ZCD,Loop-based,30,0.012549223113850951,0.0121250960593391,0.0065225160407346395,0.01824365723017213,0.004434481165298117
Sweep_AmplitudeStep_10pct,10.0,EKF,Model-based,30,0.0028291632055086175,0.0026644655809839497,0.00031797232377643,0.00560708276556664,0.0020258000582186754
Sweep_AmplitudeStep_10pct,10.0,LKF,Model-based,30,0.0039938617371636466,0.0040056157673004,0.00388171570015176,0.00408306433699156,7.262204266725669e-05
Sweep_AmplitudeStep_10pct,10.0,LKF2,Model-based,30,0.0056534708138215334,0.00363293275353625,0.0013362918273037102,0.012523883238974721,0.004256522612866891
Sweep_AmplitudeStep_10pct,10.0,RA-EKF,Model-based,30,0.0006620028904187301,0.0004911588977005,0.00041730691466468,0.0011514597110963802,0.0003830623370382941
Sweep_AmplitudeStep_10pct,10.0,UKF,Model-based,30,0.0012595645044276365,0.0010936761775895,0.00046494720372391003,0.00239450274574407,0.0007057359888279555
Sweep_AmplitudeStep_10pct,10.0,IPDFT,Window-based,30,0.0015296183253656933,0.00167754406899735,0.0006182133415106,0.0022302471941781804,0.0006444919132565322
Sweep_AmplitudeStep_10pct,10.0,TFT,Window-based,30,0.00102923380295439,0.001002581772563,0.00057824359658306,0.00141986236660965,0.00032522036247741135
Sweep_AmplitudeStep_15pct,15.0,RLS,Adaptive,30,0.5741436182203272,0.5881991966844189,0.1731777825458466,0.8673889323761605,0.28682430176405094
